Cause,Type,Year,Data Redundancy,Total Deaths,Source
Abrasi Air Laut,Bencana Alam,2012,1,0,Profil Kesehatan Indonesia Tahun 2012
AIDS,Bencana Non Alam dan Penyakit,2000,1,47,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2001,1,99,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2002,1,100,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2003,1,261,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2004,1,361,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2005,1,509,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2006,1,635,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2007,1,788,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2008,1,711,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2009,1,331,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2010,1,979,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2011,1,597,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2019,1,614,Profil Kesehatan Indonesia Tahun 2019
AIDS,Bencana Non Alam dan Penyakit,2020,1,665,Profil Kesehatan Indonesia Tahun 2020
AIDS,Bencana Non Alam dan Penyakit,2021,1,688,Profil Kesehatan Indonesia Tahun 2021
Aksi Teror dan Sabotase,Bencana Sosial,2015,1,0,Profil Kesehatan Indonesia Tahun 2015
Aksi Teror dan Sabotase,Bencana Sosial,2016,1,13,Profil Kesehatan Indonesia Tahun 2016
Aksi Teror dan Sabotase,Bencana Sosial,2017,1,0,Profil Kesehatan Indonesia Tahun 2017
Aksi Teror dan Sabotase,Bencana Sosial,2018,1,18,Profil Kesehatan Indonesia Tahun 2018
Aksi Teror dan Sabotase,Bencana Sosial,2019,1,3,Profil Kesehatan Indonesia Tahun 2019
Aksi Teror dan Sabotase,Bencana Sosial,2020,1,4,Profil Kesehatan Indonesia Tahun 2020
Aksi Teror dan Sabotase,Bencana Sosial,2021,1,4,Profil Kesehatan Indonesia Tahun 2021
Angin kencang,Bencana Alam,2008,1,3,Profil Kesehatan Indonesia Tahun 2008
